repo,file_path,duration_days,event,init_cc,cc_lm,cc_slope,loc_lm,loc_delta,mi_lm,n_authors,lm_days,nesting_lm,comment_ratio_lm,docstring_ratio_lm,max_params_lm,n_except_lm,fan_in_lm,fan_out_lm
celery,celery/task/schedules.py,12,0,9.0,7.0,-2.0,236,142,61.19196958101457,2,14,5.0,0.043010752688172046,0.25,5.0,0.0,0,4
celery,celery/task/strategy.py,30,0,4.0,4.0,0.0,54,1,78.83898081184346,1,116,4.0,0.023255813953488372,0.5,4.0,0.0,0,2
celery,celery/tests/compat.py,1,0,3.0,3.0,0.0,87,23,73.99113995911917,2,1,3.0,0.0,0.3,7.0,0.0,0,1
celery,celery/tests/test_backends/__init__.py,6,0,2.0,3.0,1.0,27,-1,100.0,1,148,2.0,0.0,0.0,1.0,0.0,0,3
celery,celery/tests/test_backends/test_base.py,364,0,2.0,2.0,0.0,75,26,57.16953746233415,1,1,1.0,0.0,0.0,1.0,0.0,0,3
celery,celery/tests/test_beat.py,203,0,2.0,2.0,0.0,229,11,35.80187903566792,1,41,1.0,0.0,0.0,1.0,0.0,0,6
celery,celery/tests/test_buckets.py,283,0,7.0,7.0,0.0,215,19,37.18467245816868,1,28,3.0,0.024096385542168676,0.0,5.0,0.0,0,6
celery,celery/tests/test_celery.py,405,0,4.0,3.0,-1.0,22,3,65.1850551444468,1,1,2.0,0.0,0.0,1.0,0.0,0,2
celery,celery/tests/test_conf.py,308,0,3.0,3.0,0.0,48,1,66.31558646638672,1,7,2.0,0.0,0.0,4.0,0.0,0,3
celery,celery/tests/test_datastructures.py,203,0,3.0,3.0,0.0,133,81,40.38888489764151,1,165,2.0,0.0,0.0,1.0,1.0,0,4
celery,celery/tests/test_discovery.py,323,0,3.0,2.0,-1.0,23,3,62.46408896085777,1,53,2.0,0.0,0.0,1.0,0.0,0,3
celery,celery/tests/test_events.py,85,0,3.0,3.0,0.0,76,2,56.530248513544,1,76,3.0,0.0,0.0,2.0,0.0,0,2
celery,celery/tests/test_loaders.py,132,0,2.0,2.0,0.0,122,34,100.0,1,20,2.0,0.011363636363636364,0.0,1.0,0.0,0,7
celery,celery/tests/test_log.py,444,0,2.0,2.0,0.0,51,-6,79.82783872208786,1,37,1.0,0.09523809523809523,0.0,5.0,0.0,0,6
celery,celery/tests/test_messaging.py,121,0,2.0,2.0,0.0,15,-2,100.0,1,130,1.0,0.0,0.0,1.0,0.0,0,2
celery,celery/tests/test_models.py,369,0,2.0,2.0,0.0,67,4,63.66955908078085,1,15,1.0,0.057692307692307696,0.0,2.0,0.0,0,4
celery,celery/tests/test_monitoring.py,79,0,2.0,2.0,0.0,66,39,60.79610590443382,1,4,1.0,0.020833333333333332,0.0,5.0,0.0,0,3
celery,celery/tests/test_pool.py,325,0,2.0,2.0,0.0,111,-2,51.94512542768769,2,18,2.0,0.011363636363636364,0.0,2.0,1.0,0,6
celery,celery/tests/test_registry.py,295,0,2.0,2.0,0.0,81,4,46.77463589950343,1,20,1.0,0.0,0.0,4.0,0.0,0,2
celery,celery/tests/test_result.py,421,0,4.0,4.0,0.0,195,35,34.13070277991996,1,1,2.0,0.0,0.0,3.0,0.0,0,2
celery,celery/tests/test_routes.py,48,0,3.0,3.0,0.0,113,-2,49.19257213038237,1,6,4.0,0.0,0.0,2.0,0.0,0,2
celery,celery/tests/test_serialization.py,280,0,2.0,2.0,0.0,16,2,72.84896396044456,1,57,2.0,0.0,0.0,1.0,0.0,0,5
celery,celery/tests/test_task.py,99,0,3.0,3.0,0.0,149,79,54.68983504810094,1,7,2.0,0.05263157894736842,0.0,4.0,0.0,0,5
celery,celery/tests/test_task_builtins.py,339,0,2.0,2.0,0.0,23,1,72.71446103646797,1,1,1.0,0.0,0.0,1.0,0.0,0,2
celery,celery/tests/test_task_control.py,162,0,2.0,2.0,0.0,64,15,50.374506405214795,1,21,3.0,0.0,0.0,2.0,0.0,0,2
celery,celery/tests/test_task_http.py,148,0,3.0,3.0,0.0,145,128,100.0,1,1,3.0,0.009523809523809525,0.0,1.0,1.0,0,11
celery,celery/tests/test_task_sets.py,9,0,3.0,3.0,0.0,174,-1,51.514044849291274,1,19,2.0,0.023076923076923078,0.0,3.0,0.0,0,3
celery,celery/tests/test_utils.py,43,1,2.0,2.0,0.0,23,0,100.0,1,137,1.0,0.1875,0.0,1.0,0.0,0,2
celery,celery/tests/test_utils_info.py,93,0,2.0,2.0,0.0,63,-1,56.62692846742928,1,76,2.0,0.0,0.0,1.0,0.0,0,2
celery,celery/tests/test_worker.py,174,1,2.0,3.0,1.0,212,120,32.63168633770316,1,1,2.0,0.0,0.0,3.0,0.0,0,6
celery,celery/tests/test_worker_control.py,152,0,2.0,2.0,0.0,59,0,57.12753667411513,1,78,2.0,0.0,0.0,1.0,0.0,0,3
celery,celery/tests/test_worker_controllers.py,173,1,2.0,2.0,0.0,98,55,49.671877547553024,1,6,2.0,0.0,0.0,1.0,0.0,0,6
celery,celery/tests/test_worker_job.py,141,0,2.0,2.0,0.0,151,5,47.95252721643444,1,2,2.0,0.008064516129032258,0.0,1.0,0.0,0,5
celery,celery/tests/test_worker_scheduler.py,139,0,2.0,2.0,0.0,54,5,54.928819171621065,1,71,2.0,0.0,0.0,2.0,0.0,0,4
celery,celery/tests/utils.py,159,1,3.0,1.0,-2.0,53,-3,89.13867430038876,1,78,3.0,0.0,0.5,1.0,0.0,0,6
celery,celery/timer.py,9,0,4.0,4.0,0.0,51,26,82.39342668535517,1,1,2.0,0.0,0.75,3.0,0.0,0,1
celery,celery/utils.py,22,0,4.0,4.0,0.0,41,11,78.78424715269243,1,4,3.0,0.06896551724137931,1.0,2.0,0.0,0,1
celery,celery/utils/compat.py,1,1,3.0,3.0,0.0,233,166,54.55292079750353,1,62,4.0,0.1282051282051282,0.5384615384615384,3.0,7.0,0,6
celery,celery/utils/info.py,127,0,8.0,8.0,0.0,65,6,57.49851323790662,1,43,3.0,0.0,0.8,2.0,0.0,0,2
celery,celery/utils/timeutils.py,78,0,6.0,6.0,0.0,124,38,65.94223651954486,1,1,3.0,0.01098901098901099,0.8333333333333334,4.0,1.0,0,2
celery,celery/views.py,34,1,3.0,1.0,-2.0,25,15,100.0,1,22,1.0,0.0,1.0,2.0,0.0,0,3
celery,celery/worker/buckets.py,259,0,9.0,9.0,0.0,302,2,55.718727909281974,1,21,4.0,0.039647577092511016,0.6923076923076923,4.0,5.0,0,2
celery,celery/worker/control.py,8,1,3.0,4.0,1.0,98,53,73.17379879503525,1,4,2.0,0.0,0.7,3.0,2.0,0,2
celery,celery/worker/heartbeat.py,1,1,3.0,3.0,0.0,35,-4,76.625036008377,1,1,3.0,0.0,0.2,3.0,0.0,0,2
celery,celery/worker/job.py,28,0,3.0,3.0,0.0,212,-5,70.18737735475992,1,1,2.0,0.02564102564102564,0.8181818181818182,8.0,0.0,0,5
celery,celery/worker/pool.py,196,0,5.0,5.0,0.0,94,2,77.62694627860805,1,2,3.0,0.015384615384615385,0.75,7.0,0.0,0,3
celery,celery/worker/scheduler.py,95,1,6.0,6.0,0.0,51,0,60.49422876057692,1,5,5.0,0.02564102564102564,0.14285714285714285,5.0,0.0,0,2
celery,celery/worker/state.py,38,0,2.0,2.0,0.0,63,47,56.93038548870309,1,1,2.0,0.0,0.0,2.0,0.0,0,2
celery,contrib/sphinx-to-rst.py,13,0,5.0,5.0,0.0,65,15,64.45440207079194,1,64,5.0,0.04081632653061224,0.0,3.0,0.0,0,4
celery,contrib/testconn.py,93,0,2.0,2.0,0.0,131,10,46.02611081214852,1,84,2.0,0.009615384615384616,0.0,1.0,0.0,0,10
celery,crunchy/task.py,2,1,1.0,2.0,1.0,21,-1,66.06547856107173,1,1,2.0,0.0,0.0,1.0,0.0,0,2
celery,pavement.py,127,0,4.0,4.0,0.0,140,0,42.732452883060674,1,1,2.0,0.0,0.0,1.0,0.0,0,1
celery,setup.py,469,0,2.0,2.0,0.0,84,1,62.79391285556404,1,19,1.0,0.027777777777777776,0.0,1.0,1.0,0,7
click,click.py,1,1,21.0,21.0,0.0,1538,4,0.0,2,1,5.0,0.04699537750385208,0.34074074074074073,12.0,17.0,1,11
click,click/_bashcomplete.py,173,1,10.0,10.0,0.0,79,4,45.43759286200045,2,246,4.0,0.0,0.0,4.0,1.0,1,5
click,click/_compat.py,400,1,9.0,9.0,0.0,82,9,40.461576170632775,1,9,5.0,0.0,0.0,4.0,0.0,5,4
click,click/_optparse.py,2,1,2.0,2.0,0.0,90,18,63.03062936568086,1,1,2.0,0.09859154929577464,0.0,2.0,0.0,0,5
click,click/_unicodefun.py,822,1,15.0,16.0,1.0,120,11,52.22435642242723,1,54,5.0,0.04807692307692308,0.25,0.0,1.0,2,8
